## Microarray analysis of entry into quiescence (normalised data),,,,,,,,,,,,,,,,
## T: time after Nitrogen removal,,,,,,,,,,,,,,,,
## Expression ratio are normalised to time point zero and corrected for total RNA amount per cell ,,,,,,,,,,,,,,,,
Systematic.name,T0,T0.5,T1,T2,T3,T4,T6,T9,T12,T16,T20,T24,T48,T72,T96,T168
SPAC2E1P3.02c,0.99999994,0.97144014,1.9738164,0.5563389,0.6637809,0.3847984,0.32715386,0.3241442,0.23433377,0.21438983,0.27632782,0.27735448,0.27229556,0.25432122,0.24093238,0.23563185
SPBC365.08c,1,0.8105625,0.7492335,0.6020396,0.51780415,0.25730804,0.22237504,0.18872552,0.18332876,0.13374774,0.15498982,0.17086652,0.1574945,0.14313626,0.15734668,0.16623427
SPBC2A9.02,0.99999994,0.9145539,1.1573912,1.1045451,0.48648122,0.26396066,0.18199597,0.122874305,0.1465506,0.13182627,0.16458377,0.15474045,0.1511574,0.1740863,0.11273709,0.12238785
SPBC2A9.03,1,1.2399261,1.4259658,1.0187533,NA,0.5290442,0.51023257,0.4286796,0.3254267,0.31686783,0.3152683,0.29523388,0.24490179,0.24395232,0.24446915,0.18567945
SPAC823.16c,1,1.0625734,1.0774263,1.0495807,0.7995228,0.57655305,0.5755809,0.51491094,0.44766,0.47525415,0.4834079,0.3997228,0.4504788,0.40901184,0.38071793,0.44406578
SPBC2A9.09,0.99999994,0.78679454,0.56087214,0.5029486,0.43165296,0.23427106,0.21533851,0.22319968,0.15726523,0.14392895,0.17465937,0.17445572,0.1505792,0.16201866,0.14548299,0.11783149
SPAC24B11.11c,0.99999994,2.0335999,1.247026,0.87428856,0.58650625,0.32797682,0.2555498,NA,0.19209541,0.17852664,NA,0.17365743,0.1681215,0.15534745,0.1416709,0.10374186
SPCC162.01c,1,0.559085,0.4400854,0.41518945,0.4678935,0.32414752,0.33839267,0.40847355,0.2744497,0.24420725,0.2730484,0.24932301,0.2949353,0.30427656,0.2749187,0.23929884
SPCC16C4.12,1,0.83046466,0.65419245,0.50792104,0.4696917,0.3018865,0.33444545,0.3213667,0.2380688,0.21875662,0.24477462,0.23821342,0.34186357,0.25892484,0.24558704,0.22495028
SPCC16C4.15,1,0.5609039,0.3987332,0.26235068,0.23669405,0.14687857,0.09691262,0.096856326,0.08645231,0.06792236,NA,0.083127394,0.051320363,0.05329766,0.034720615,0.032947727
SPAC227.13c,1,0.4274326,0.24044037,0.21525656,0.1683332,0.13905983,0.14830929,0.13829976,0.13618167,0.15371394,NA,0.19526215,0.1713799,0.14606959,0.10414983,0.07024692
SPCC16C4.11,1,0.93788826,0.77814454,0.6318083,0.3649094,0.30796063,0.18375854,NA,0.1480956,0.20112444,0.19465277,0.14585033,0.082804196,0.08009256,0.058989506,0.03446423
SPCC16C4.10,1,1.1066027,0.8286931,0.6760946,0.5067625,0.28629503,0.28258893,0.22783065,0.18982068,0.1673581,0.1690727,0.17003831,0.15168458,0.1417323,0.116963945,0.107876085
SPCC16C4.09,1,1.3998593,1.2764845,0.83874786,0.47266325,0.34073734,0.27602798,0.22440858,0.2213752,0.21070765,0.23782083,0.19789417,0.110298276,0.12748507,0.09536276,0.10437082
SPBC2A9.10,0.99999994,0.42564976,0.4055332,0.42944407,0.4531599,0.2638094,0.2889939,0.234849,0.19035842,0.17924835,0.1703626,0.18373317,0.23017032,0.20113483,0.18985513,0.114492565
SPBC2A9.12,1,0.8649621,0.74998635,0.52702713,0.46732816,0.21816272,0.19986014,NA,0.15516739,NA,0.16380738,0.15528466,0.22774248,0.23488647,0.12895553,NA
SPBC4F6.07c,0.99999994,0.3330455,0.26062724,0.24352802,0.22846745,0.18288575,0.20945041,0.19583552,0.19109099,0.17393588,0.1999524,0.22456585,0.2270328,0.20525612,0.19215399,0.13692491
SPBC2A9.13,0.99999994,1.4013511,0.99631405,0.33586603,0.5156675,0.27067098,0.19326364,0.17285581,0.11928644,0.09207429,0.10439269,0.10449451,0.14024,0.1533654,0.12675342,0.08919382
SPCC16C4.05,0.99999994,0.46218622,0.47420472,0.39352396,0.42948866,0.23664421,0.3043105,0.26945165,0.19612737,0.20604132,0.17438586,0.20972577,0.26883706,0.22370689,0.19878037,0.14449899
SPBC2A9.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPBC365.09c,1,0.8238191,0.7896577,0.56345797,0.38919744,0.24328502,0.21801396,0.19860949,0.18985707,NA,0.1544668,0.19405894,0.22744215,NA,NA,NA
SPCC16C4.07,1,1.0303233,0.6173961,0.35593975,0.35051,0.19986045,0.18277146,NA,0.14774817,0.13126653,0.16152191,0.1413068,0.119676225,0.116548315,0.1062933,0.10211177
SPCC970.11c,1,1.1763575,1.7363924,1.4099962,0.9145026,0.61915207,0.48415643,0.33933762,0.32653424,0.38317984,0.37497503,0.31967196,0.21018904,0.20654319,0.16033292,0.16902958
SPAC24B11.12c,0.99999994,1.2196422,0.82014436,0.5669819,0.47483486,0.27533922,0.2812946,0.2941516,0.22812465,0.18984632,NA,0.22872028,0.22259475,0.23064627,0.19589247,0.18814278
SPAC17A5.04c,1,0.73222125,0.48991546,0.3816008,0.359548,0.21632943,0.18834752,0.17012343,0.13859901,0.106555656,0.13574743,0.14219376,0.14256401,NA,0.15426016,0.11806382
SPBC14F5.09c,0.99999994,0.41801685,0.27773,0.22697973,0.23387788,0.1359352,0.14013328,0.11843809,0.089988455,0.081483595,NA,0.10589728,0.09733243,0.099364445,0.084159605,0.065361455
SPAC823.10c,1,0.69262767,NA,0.32376513,0.25764903,0.16373384,NA,0.13102205,0.104687914,NA,0.07163207,NA,NA,NA,NA,NA
SPCC663.15c,1,1.3191301,1.1119496,0.656709,0.46107557,0.27137223,0.23893115,0.24738008,0.17667943,0.15876995,NA,0.16495298,0.15178826,0.14464444,0.13856761,0.10891483
SPAC18G6.06,1,0.6609117,0.5082977,0.29350197,0.30961135,0.18602759,0.17447525,0.15128745,0.1276486,0.11627923,0.1553688,0.1357544,0.12518714,0.12006513,0.102740936,0.10250529
